username,country,title,date_watched,percentage_watched,rating
 'Bountiful Blessings' 'The OA' 'Mayday Life'
 ""Ben & Holly's Little Kingdom"" 'Super Nani']",2008,25,8
Mark Lopez,Palestinian Territory,"['Maniyarayile Ashokan' 'Good Game: The Beginning' 'Care of Kancharapalem'
 'Kung Fu Yoga' 'The Clovehitch Killer' 'KO One' 'Ek Khiladi Ek Haseena']",2010,67,6
Tammy Cooper,Slovenia,"['Doom: Annihilation' 'Klaus' ""Angela's Christmas Wish"" 'La Última Fiesta'
 'Next' 'PJ Masks' 'Planet Earth: The Complete Collection']",2013,70,4
Mckenzie George,Nigeria,"['Killer Cove' 'Rocks' 'W. Kamau Bell: Private School Negro'
 'Monty Python Live (Mostly): One Down, Five to Go' 'Toro'
 'Thomas & Friends: Marvelous Machinery: A New Arrival'
 ""My Babysitter's a Vampire: The Movie""]",2000,54,7
Daniel Solomon,Ecuador,"['El testigo' 'Between Maybes' 'Going for Gold'
 'Breaking Boundaries: The Science Of Our Planet'
 'The Resurrection of Gavin Stone' 'Back of the Net' 'Go! Live Your Way']",2004,85,10
Lindsey Green,Mauritania,"['American Hangman' 'Theeram' 'The Book of Sun' 'The Great Magician'
 'Suzzanna: Buried Alive' 'Doctor Zhivago' 'Quién te cantará' 'Lolita']",2005,34,8
Andrew Wolfe,British Virgin Islands,"['Welcome Mr. President' ""Girlfriend's Day""
 ""Marvel's Agents of S.H.I.E.L.D."" 'Saawan' 'Ugly' 'The Vanished'
 'The Rise of Phoenixes' 'Barbie Dreamhouse Adventures: Go Team Roberts'
 'Black Summer']",2012,57,3
Taylor Williams,Switzerland,"['NOVA: Killer Hurricanes' 'Black Rose' 'Hot Girls Wanted: Turned On'
 'Short Term 12' 'Dear Dad' 'Kate']",2001,15,7
Michelle Duffy,Cyprus,"['SuperNature: Wild Flyers' '9' 'Last Night' 'Running for Grace'
 'Cardboard Gangsters' 'Alone/Together']",2015,74,9
Jessica Jarvis,United States Virgin Islands,"['The Journey Is the Destination' 'Leslie Jones: Time Machine'
 'Nisman: The Prosecutor, the President, and the Spy'
 'Demetri Martin: The Overthinker' 'Arctic Dogs'
 'LEGO Elves: Secrets of Elvendale' 'Mad Money' 'Haunted: Latin America'
 'Bolt']",2011,3,6
Alexander Gibbs,El Salvador,"['Filmworker' ""Grey's Anatomy"" 'The Negro Soldier'
 'Dolly Parton’s Christmas on the Square'
 'Bobby Robson: More Than a Manager' 'How to Be a Latin Lover'
 '14 Minutes from Earth' 'StarBeam']",2003,13,10
Cynthia Carey,Indonesia,"['SMOSH: The Movie' 'Forever Pure' 'Guna 369' 'Virsa' 'Sotus The Series'
 'Lady Boss: The Jackie Collins Story' 'Demetri Martin: The Overthinker']",2009,81,9
Antonio Jones,Gabon,"['The Wrong Babysitter' 'Three Thieves' 'Big Mouth' 'Navarasa'
 'In Between' 'Indoo Ki Jawani' 'Fallet']",2011,72,10
